Spcode,Category,English.Name,Scientific.Name
paethr1,species,Pale-eyed Thrush,Turdus leucops
whethr1,species,White-eyed Thrush,Turdus jamaicensis
lasthr1,species,La Selle Thrush,Turdus swalesi
blarob1,species,Black Thrush,Turdus infuscatus
soorob1,species,Sooty Thrush,Turdus nigrescens
amerob,species,American Robin,Turdus migratorius
amerob3,group (monotypic),American Robin (nigrideus),Turdus migratorius nigrideus
amerob1,group (polytypic),American Robin (migratorius Group),Turdus migratorius [migratorius Group]
amerob2,group (monotypic),American Robin (San Lucas),Turdus migratorius confinis
y00822,slash,Varied Thrush/American Robin,Ixoreus naevius/Turdus migratorius
rubrob,species,Rufous-backed Robin,Turdus rufopalliatus
rubrob1,group (monotypic),Rufous-backed Robin (Rufous-backed),Turdus rufopalliatus rufopalliatus
rubrob2,group (monotypic),Rufous-backed Robin (Grayson's),Turdus rufopalliatus graysoni
rucrob1,species,Rufous-collared Robin,Turdus rufitorques
austhr1,species,Austral Thrush,Turdus falcklandii
austhr2,group (polytypic),Austral Thrush (Magellan),Turdus falcklandii magellanicus/pembertoni
austhr3,group (monotypic),Austral Thrush (Falkland),Turdus falcklandii falcklandii
plbthr2,species,Plumbeous-backed Thrush,Turdus reevei
slathr3,species,Eastern Slaty Thrush,Turdus subalaris
lawthr1,species,Lawrence's Thrush,Turdus lawrencii
bkbthr4,species,Pantepui Thrush,Turdus murinus
trithr1,species,Tristan Thrush,Turdus eremita
crbthr1,species,Creamy-bellied Thrush,Turdus amaurochalinus
blbthr1,species,Black-billed Thrush,Turdus ignobilis
bkbthr1,group (polytypic),Black-billed Thrush (Drab),Turdus ignobilis ignobilis/goodfellowi
bkbthr2,group (monotypic),Black-billed Thrush (Amazonian),Turdus ignobilis debilis
bkbthr3,species,Campina Thrush,Turdus arthuri
y01159,slash,Pantepui/Campina Thrush,Turdus murinus/arthuri
y01160,slash,Black-billed/Campina Thrush,Turdus ignobilis/arthuri
marthr2,species,Mara?on Thrush,Turdus maranonicus
chbthr2,species,Chestnut-bellied Thrush,Turdus fulviventris
blhthr1,species,Black-hooded Thrush,Turdus olivater
grethr1,species,Great Thrush,Turdus fuscater
chithr1,species,Chiguanco Thrush,Turdus chiguanco
chithr4,group (polytypic),Chiguanco Thrush (chiguanco/conradi),Turdus chiguanco chiguanco/conradi
chithr3,group (monotypic),Chiguanco Thrush (anthracinus),Turdus chiguanco anthracinus
slathr2,species,Andean Slaty Thrush,Turdus nigriceps
glbthr1,species,Glossy-black Thrush,Turdus serranus
prithr1,species,Principe Thrush,Turdus xanthorhynchus
satthr1,species,Sao Tome Thrush,Turdus olivaceofuscus
whcthr1,species,White-chinned Thrush,Turdus aurantius
grcthr1,species,Grand Cayman Thrush,Turdus ravidus
relthr1,species,Red-legged Thrush,Turdus plumbeus
relthr2,group (polytypic),Red-legged Thrush (plumbeus/schistaceus),Turdus plumbeus plumbeus/schistaceus
relthr4,group (polytypic),Red-legged Thrush (rubripes/coryi),Turdus plumbeus rubripes/coryi
relthr3,group (polytypic),Red-legged Thrush (ardosiaceus/albiventris),Turdus plumbeus ardosiaceus/albiventris
afrthr1,species,African Thrush,Turdus pelios
afrthr2,group (polytypic),African Thrush (African),Turdus pelios [pelios Group]
afrthr3,group (polytypic),African Thrush (Black-lored),Turdus pelios nigrilorum/poensis
afrthr4,group (polytypic),African Thrush (Orange-bellied),Turdus pelios stormsi/graueri
islthr24,species,Taiwan Thrush,Turdus niveiceps
gywbla1,species,Gray-winged Blackbird,Turdus boulboul
eurbla2,species,Indian Blackbird,Turdus simillimus
indbla1,group (polytypic),Indian Blackbird (Indian),Turdus simillimus simillimus/bourdilloni
indbla2,group (polytypic),Indian Blackbird (Black-capped),Turdus simillimus nigropileus/spencei
indbla3,group (monotypic),Indian Blackbird (Sri Lanka),Turdus simillimus kinnisii
japthr1,species,Japanese Thrush,Turdus cardis
gybthr1,species,Gray-backed Thrush,Turdus hortulorum
ticthr1,species,Tickell's Thrush,Turdus unicolor
blbthr2,species,Black-breasted Thrush,Turdus dissimilis
gysthr1,species,Gray-sided Thrush,Turdus feae
eyethr,species,Eyebrowed Thrush,Turdus obscurus
y01053,slash,Gray-sided/Eyebrowed Thrush,Turdus feae/obscurus
brhthr1,species,Brown-headed Thrush,Turdus chrysolaus
izuthr1,species,Izu Thrush,Turdus celaenops
palthr1,species,Pale Thrush,Turdus pallidus
islthr1,species,Island Thrush,Turdus poliocephalus
islthr9,group (monotypic),Island Thrush (Christmas),Turdus poliocephalus erythropleurus
islthr19,group (monotypic),Island Thrush (Loeser's),Turdus poliocephalus loeseri
islthr13,group (monotypic),Island Thrush (Sumatran),Turdus poliocephalus indrapurae
islthr14,group (polytypic),Island Thrush (Javan),Turdus poliocephalus javanicus/biesenbachi
islthr10,group (monotypic),Island Thrush (Sooty),Turdus poliocephalus fumidus
islthr34,group (polytypic),Island Thrush (Stresemann's),Turdus poliocephalus whiteheadi/stresemanni
islthr32,group (monotypic),Island Thrush (Bornean),Turdus poliocephalus seebohmi
islthr36,group (polytypic),Island Thrush (Luzon),Turdus poliocephalus thomassoni/mayonensis
islthr22,group (monotypic),Island Thrush (Mindoro),Turdus poliocephalus mindorensis
islthr23,group (monotypic),Island Thrush (Negros),Turdus poliocephalus nigrorum
islthr20,group (monotypic),Island Thrush (Malindang),Turdus poliocephalus malindangensis
islthr15,group (monotypic),Island Thrush (Katanglad),Turdus poliocephalus katanglad
islthr16,group (monotypic),Island Thrush (Apo),Turdus poliocephalus kelleri
islthr12,group (monotypic),Island Thrush (Latimojong),Turdus poliocephalus hygroscopus
islthr6,group (monotypic),Island Thrush (Lompobattang),Turdus poliocephalus celebensis
islthr31,group (monotypic),Island Thrush (Schlegel's),Turdus poliocephalus schlegelii
islthr33,group (monotypic),Island Thrush (Sterling's),Turdus poliocephalus sterlingi
islthr7,group (monotypic),Island Thrush (Seram),Turdus poliocephalus deningeri
islthr37,group (monotypic),Island Thrush (Jayawijaya),Turdus poliocephalus versteegi
islthr5,group (monotypic),Island Thrush (Ashy),Turdus poliocephalus erebus
islthr25,group (monotypic),Island Thrush (Papuan),Turdus poliocephalus papuensis
islthr4,group (monotypic),Island Thrush (Goodenough),Turdus poliocephalus canescens
islthr2,group (polytypic),Island Thrush (North Melanesian),Turdus poliocephalus [heinrothi Group]
islthr17,group (monotypic),Island Thrush (Kolombangara),Turdus poliocephalus kulambangrae
islthr3,group (polytypic),Island Thrush (Vanuatu),Turdus poliocephalus [vanikorensis Group]
islthr26,group (monotypic),Island Thrush (Ureparapara),Turdus poliocephalus placens
islthr8,group (monotypic),Island Thrush (Efate),Turdus poliocephalus efatensis
islthr28,group (polytypic),Island Thrush (White-headed),Turdus poliocephalus pritzbueri/albifrons
islthr40,group (monotypic),Island Thrush (New Caledonia),Turdus poliocephalus xanthopus
islthr21,group (monotypic),Island Thrush (Mare),Turdus poliocephalus mareensis
islthr27,group (monotypic),Island Thrush (Norfolk I.),Turdus poliocephalus poliocephalus
islthr38,group (monotypic),Island Thrush (Lord Howe I.),Turdus poliocephalus vinitinctus
islthr18,group (monotypic),Island Thrush (Viti Levu),Turdus poliocephalus layardi
islthr29,group (monotypic),Island Thrush (Kadavu),Turdus poliocephalus ruficeps
islthr39,group (monotypic),Island Thrush (Vanua Levu),Turdus poliocephalus vitiensis
islthr11,group (monotypic),Island Thrush (Satanic),Turdus poliocephalus hades
islthr35,group (monotypic),Island Thrush (Taveuni),Turdus poliocephalus tempesti
islthr30,group (monotypic),Island Thrush (Samoan),Turdus poliocephalus samoensis
whbthr2,species,White-backed Thrush,Turdus kessleri
tibbla1,species,Tibetan Blackbird,Turdus maximus
fieldf,species,Fieldfare,Turdus pilaris
whcbla1,species,White-collared Blackbird,Turdus albocinctus
chethr1,species,Chestnut Thrush,Turdus rubrocanus
rinouz1,species,Ring Ouzel,Turdus torquatus
rinouz2,group (monotypic),Ring Ouzel (Northern),Turdus torquatus torquatus
rinouz3,group (monotypic),Ring Ouzel (Alpine),Turdus torquatus alpestris
rinouz4,group (monotypic),Ring Ouzel (Caucasian),Turdus torquatus amicorum
datthr1,species,Black-throated Thrush,Turdus atrogularis
retthr1,species,Red-throated Thrush,Turdus ruficollis
x00644,hybrid,Black-throated x Red-throated Thrush (hybrid),Turdus atrogularis x ruficollis
dusthr2,species,Dusky Thrush,Turdus eunomus
dusthr1,species,Naumann's Thrush,Turdus naumanni
x00973,hybrid,Dusky x Naumann's Thrush (hybrid),Turdus eunomus x naumanni
dusthr,slash,Dusky/Naumann's Thrush,Turdus eunomus/naumanni
turdus1,spuh,Turdus sp.,Turdus sp.
thrush1,spuh,thrush sp.,Turdidae sp.
gysfly1,species,Gray-streaked Flycatcher,Muscicapa griseisticta
dasfly,species,Dark-sided Flycatcher,Muscicapa sibirica
y01085,slash,Gray-streaked/Dark-sided Flycatcher,Muscicapa griseisticta/sibirica
ferfly1,species,Ferruginous Flycatcher,Muscicapa ferruginea
asbfly,species,Asian Brown Flycatcher,Muscicapa dauurica
asbfly1,species,Ashy-breasted Flycatcher,Muscicapa randi
subfly2,species,Sumba Brown Flycatcher,Muscicapa segregata
brbfly2,species,Brown-breasted Flycatcher,Muscicapa muttui
subfly3,species,Sulawesi Brown Flycatcher,Muscicapa sodhii
bnsfly1,species,Brown-streaked Flycatcher,Muscicapa williamsoni
bnsfly2,group (monotypic),Brown-streaked Flycatcher (Brown-streaked),Muscicapa williamsoni williamsoni
bnsfly3,group (monotypic),Brown-streaked Flycatcher (Umber),Muscicapa williamsoni umbrosa
y00754,slash,Asian Brown/Brown-streaked Flycatcher,Muscicapa dauurica/williamsoni
afdfly1,species,African Dusky Flycatcher,Muscicapa adusta
ligfly2,species,Little Flycatcher,Muscicapa epulata
yeffly1,species,Yellow-footed Flycatcher,Muscicapa sethsmithi
spofly1,species,Spotted Flycatcher,Muscicapa striata
