Spcode,Category,English.Name,Scientific.Name
chryso1,spuh,Chrysococcyx sp.,Chrysococcyx sp.
palcuc1,species,Pallid Cuckoo,Cacomantis pallidus
whckoe1,species,White-crowned Koel,Cacomantis leucolophus
chbcuc3,species,Chestnut-breasted Cuckoo,Cacomantis castaneiventris
fatcuc1,species,Fan-tailed Cuckoo,Cacomantis flabelliformis
babcuc2,species,Banded Bay Cuckoo,Cacomantis sonneratii
placuc1,species,Plaintive Cuckoo,Cacomantis merulinus
placuc3,species,Gray-bellied Cuckoo,Cacomantis passerinus
y00783,slash,Plaintive/Gray-bellied Cuckoo,Cacomantis merulinus/passerinus
molcuc1,species,Moluccan Cuckoo,Cacomantis aeruginosus
brucuc1,species,Brush Cuckoo,Cacomantis variolosus
brucuc2,group (polytypic),Brush Cuckoo (Rusty-breasted),Cacomantis variolosus [sepulcralis Group]
brucuc3,group (polytypic),Brush Cuckoo (Brush),Cacomantis variolosus [variolosus Group]
cacoma1,spuh,Cacomantis sp.,Cacomantis sp.
dltcuc1,species,Dusky Long-tailed Cuckoo,Cercococcyx mechowi
oltcuc1,species,Olive Long-tailed Cuckoo,Cercococcyx olivinus
bltcuc1,species,Barred Long-tailed Cuckoo,Cercococcyx montanus
bltcuc2,group (monotypic),Barred Long-tailed Cuckoo (Njobo's),Cercococcyx montanus montanus
bltcuc3,group (monotypic),Barred Long-tailed Cuckoo (Eastern),Cercococcyx montanus patulus
cercoc1,spuh,Cercococcyx sp.,Cercococcyx sp.
asidrc2,species,Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
phidrc1,species,Philippine Drongo-Cuckoo,Surniculus velutinus
asidrc3,species,Square-tailed Drongo-Cuckoo,Surniculus lugubris
y00784,slash,Fork-tailed/Square-tailed Drongo-Cuckoo,Surniculus dicruroides/lugubris
asidrc4,species,Moluccan Drongo-Cuckoo,Surniculus musschenbroeki
mohcuc1,species,Moustached Hawk-Cuckoo,Hierococcyx vagans
larhac2,species,Large Hawk-Cuckoo,Hierococcyx sparverioides
larhac1,species,Dark Hawk-Cuckoo,Hierococcyx bocki
lahcuc1,slash,Large/Dark Hawk-Cuckoo,Hierococcyx sparverioides/bocki
cohcuc1,species,Common Hawk-Cuckoo,Hierococcyx varius
y01091,slash,Large/Common Hawk-Cuckoo,Hierococcyx sparverioides/varius
nohcuc1,species,Northern Hawk-Cuckoo,Hierococcyx hyperythrus
phhcuc1,species,Philippine Hawk-Cuckoo,Hierococcyx pectoralis
hodhac1,species,Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
malhac1,species,Malaysian Hawk-Cuckoo,Hierococcyx fugax
hawk-c1,spuh,hawk-cuckoo sp.,Hierococcyx sp.
blacuc1,species,Black Cuckoo,Cuculus clamosus
blkcuc1,group (monotypic),Black Cuckoo (Rufous-throated),Cuculus clamosus gabonensis
blkcuc2,group (monotypic),Black Cuckoo (Black),Cuculus clamosus clamosus
reccuc1,species,Red-chested Cuckoo,Cuculus solitarius
lescuc1,species,Lesser Cuckoo,Cuculus poliocephalus
suhcuc1,species,Sulawesi Cuckoo,Cuculus crassirostris
indcuc1,species,Indian Cuckoo,Cuculus micropterus
y01093,slash,Lesser/Indian Cuckoo,Cuculus poliocephalus/micropterus
afrcuc1,species,African Cuckoo,Cuculus gularis
madcuc1,species,Madagascar Cuckoo,Cuculus rochii
himcuc1,species,Himalayan Cuckoo,Cuculus saturatus
suncuc2,species,Sunda Cuckoo,Cuculus lepidus
comcuc,species,Common Cuckoo,Cuculus canorus
y00853,slash,African/Common Cuckoo,Cuculus gularis/canorus
oricuc2,species,Oriental Cuckoo,Cuculus optatus
y01094,slash,Lesser/Oriental Cuckoo,Cuculus poliocephalus/optatus
y00730,slash,Himalayan/Oriental Cuckoo,Cuculus saturatus/optatus
y00729,slash,Common/Oriental Cuckoo,Cuculus canorus/optatus
cuculu1,spuh,Cuculus sp.,Cuculus sp.
cuckoo3,spuh,cuckoo sp. (Cuculidae sp.),Cuculidae sp.
tawfro1,species,Tawny Frogmouth,Podargus strigoides
marfro1,species,Marbled Frogmouth,Podargus ocellatus
marfro2,group (polytypic),Marbled Frogmouth (Marbled),Podargus ocellatus [ocellatus Group]
marfro3,group (monotypic),Marbled Frogmouth (Plumed),Podargus ocellatus plumiferus
papfro1,species,Papuan Frogmouth,Podargus papuensis
soifro1,species,Solomons Frogmouth,Rigidipenna inexpectata
larfro1,species,Large Frogmouth,Batrachostomus auritus
dulfro1,species,Dulit Frogmouth,Batrachostomus harterti
phifro1,species,Philippine Frogmouth,Batrachostomus septimus
goufro1,species,Gould's Frogmouth,Batrachostomus stellatus
ceyfro1,species,Sri Lanka Frogmouth,Batrachostomus moniliger
hodfro1,species,Hodgson's Frogmouth,Batrachostomus hodgsoni
shtfro3,species,Sumatran Frogmouth,Batrachostomus poliolophus
shtfro2,species,Bornean Frogmouth,Batrachostomus mixtus
javfro3,species,Javan Frogmouth,Batrachostomus javensis
javfro2,species,Blyth's Frogmouth,Batrachostomus affinis
blyfro1,group (monotypic),Blyth's Frogmouth (Indochinese),Batrachostomus affinis continentalis
blyfro2,group (monotypic),Blyth's Frogmouth (Blyth's),Batrachostomus affinis affinis
palfro1,species,Palawan Frogmouth,Batrachostomus chaseni
sunfro1,species,Sunda Frogmouth,Batrachostomus cornutus
batrac1,spuh,Batrachostomus sp.,Batrachostomus sp.
frogmo1,spuh,frogmouth sp.,Podargidae sp.
sponig1,species,Spotted Nightjar,Eurostopodus argus
solnig1,species,Solomons Nightjar,Eurostopodus nigripennis
necnig2,species,New Caledonian Nightjar,Eurostopodus exul
whtnig3,species,White-throated Nightjar,Eurostopodus mystacalis
dianig1,species,Diabolical Nightjar,Eurostopodus diabolicus
papnig1,species,Papuan Nightjar,Eurostopodus papuensis
arcnig1,species,Archbold's Nightjar,Eurostopodus archboldi
malnig1,species,Malaysian Eared-Nightjar,Lyncornis temminckii
grenig1,species,Great Eared-Nightjar,Lyncornis macrotis
colnig1,species,Collared Nightjar,Gactornis enarratus
nacnig1,species,Nacunda Nighthawk,Chordeiles nacunda
leanig1,species,Least Nighthawk,Chordeiles pusillus
sacnig1,species,Sand-colored Nighthawk,Chordeiles rupestris
lesnig,species,Lesser Nighthawk,Chordeiles acutipennis
comnig,species,Common Nighthawk,Chordeiles minor
antnig,species,Antillean Nighthawk,Chordeiles gundlachii
nighth1,spuh,nighthawk sp.,Chordeiles sp.
shtnig1,species,Short-tailed Nighthawk,Lurocalis semitorquatus
shtnig2,group (polytypic),Short-tailed Nighthawk (Short-tailed),Lurocalis semitorquatus [semitorquatus Group]
shtnig3,group (monotypic),Short-tailed Nighthawk (nattereri),Lurocalis semitorquatus nattereri
rubnig1,species,Rufous-bellied Nighthawk,Lurocalis rufiventris
batnig1,species,Band-tailed Nighthawk,Nyctiprogne leucopyga
batnig3,group (polytypic),Band-tailed Nighthawk (Band-tailed),Nyctiprogne leucopyga [leucopyga Group]
batnig4,group (monotypic),Band-tailed Nighthawk (latifascia),Nyctiprogne leucopyga latifascia
bahnig1,species,Bahian Nighthawk,Nyctiprogne vielliardi
blanig1,species,Blackish Nightjar,Nyctipolus nigrescens
pygnig1,species,Pygmy Nightjar,Nyctipolus hirundinaceus
bawnig1,species,Band-winged Nightjar,Systellura longirostris
bawnig5,group (monotypic),Band-winged Nightjar (Tepui),Systellura longirostris roraimae
bawnig6,group (monotypic),Band-winged Nightjar (Rufous-naped),Systellura longirostris ruficervix
bawnig7,group (monotypic),Band-winged Nightjar (atripunctata),Systellura longirostris atripunctata
bawnig8,group (polytypic),Band-winged Nightjar (Austral),Systellura longirostris bifasciata/patagonica
bawnig9,group (monotypic),Band-winged Nightjar (longirostris),Systellura longirostris longirostris
bawnig4,group (monotypic),Band-winged Nightjar (Mocha),Systellura longirostris mochaensis
bawnig3,species,Tschudi's Nightjar,Systellura decussata
compau,species,Common Pauraque,Nyctidromus albicollis
scrnig1,species,Scrub Nightjar,Nyctidromus anthonyi
whwnig1,species,White-winged Nightjar,Eleothreptus candicans
siwnig1,species,Sickle-winged Nightjar,Eleothreptus anomalus
swtnig1,species,Swallow-tailed Nightjar,Uropsalis segmentata
lytnig1,species,Lyre-tailed Nightjar,Uropsalis lyra
samnig1,species,Todd's Nightjar,Setopagis heterura
litnig1,species,Little Nightjar,Setopagis parvula
rornig1,species,Roraiman Nightjar,Setopagis whitelyi
caynig1,species,Cayenne Nightjar,Setopagis maculosa
whtnig1,species,White-tailed Nightjar,Hydropsalis cayennensis
sptnig1,species,Spot-tailed Nightjar,Hydropsalis maculicaudus
latnig1,species,Ladder-tailed Nightjar,Hydropsalis climacocerca
sctnig2,species,Scissor-tailed Nightjar,Hydropsalis torquata
hydrop1,spuh,Hydropsalis sp.,Hydropsalis sp.
lotnig2,species,Long-trained Nightjar,Macropsalis forcipata
jampau,species,Jamaican Pauraque,Siphonorhis americana
leapau1,species,Least Pauraque,Siphonorhis brewsteri
earpoo1,species,Eared Poorwill,Nyctiphrynus mcleodii
yucpoo1,species,Yucatan Poorwill,Nyctiphrynus yucatanicus
ocepoo1,species,Ocellated Poorwill,Nyctiphrynus ocellatus
chopoo1,species,Choco Poorwill,Nyctiphrynus rosenbergi
compoo,species,Common Poorwill,Phalaenoptilus nuttallii
chwwid,species,Chuck-will's-widow,Antrostomus carolinensis
rufnig1,species,Rufous Nightjar,Antrostomus rufus
rufnig2,group (polytypic),Rufous Nightjar (South American),Antrostomus rufus [rufus Group]
rufnig4,group (monotypic),Rufous Nightjar (St. Lucia),Antrostomus rufus otiosus
rufnig3,group (monotypic),Rufous Nightjar (Northern),Antrostomus rufus minimus
granig1,species,Greater Antillean Nightjar,Antrostomus cubanensis
granig2,group (polytypic),Greater Antillean Nightjar (Cuban),Antrostomus cubanensis cubanensis/insulaepinorum
granig3,group (monotypic),Greater Antillean Nightjar (Hispaniolan),Antrostomus cubanensis ekmani
tacnig1,species,Tawny-collared Nightjar,Antrostomus salvini
yucnig1,species,Yucatan Nightjar,Antrostomus badius
sitnig1,species,Silky-tailed Nightjar,Antrostomus sericocaudatus
bucnig,species,Buff-collared Nightjar,Antrostomus ridgwayi
whip-p1,species,Eastern Whip-poor-will,Antrostomus vociferus
dusnig1,species,Dusky Nightjar,Antrostomus saturatus
souwpw1,species,Mexican Whip-poor-will,Antrostomus arizonae
whpwil,slash,Eastern/Mexican Whip-poor-will,Antrostomus vociferus/arizonae
purnig1,species,Puerto Rican Nightjar,Antrostomus noctitherus
antros1,spuh,Antrostomus sp.,Antrostomus sp.
pewnig1,species,Pennant-winged Nightjar,Caprimulgus vexillarius
stwnig1,species,Standard-winged Nightjar,Caprimulgus longipennis
bronig1,species,Brown Nightjar,Caprimulgus binotatus
rennig1,species,Red-necked Nightjar,Caprimulgus ruficollis
grynig2,species,Jungle Nightjar,Caprimulgus indicus
grynig1,species,Gray Nightjar,Caprimulgus jotaka
granig,slash,Jungle/Gray Nightjar,Caprimulgus indicus/jotaka
palnig1,species,Palau Nightjar,Caprimulgus phalaena
eurnig1,species,Eurasian Nightjar,Caprimulgus europaeus
y00677,slash,Red-necked/Eurasian Nightjar,Caprimulgus ruficollis/europaeus
somnig1,species,Sombre Nightjar,Caprimulgus fraenatus
rucnig1,species,Rufous-cheeked Nightjar,Caprimulgus rufigena
egynig1,species,Egyptian Nightjar,Caprimulgus aegyptius
nubnig1,species,Nubian Nightjar,Caprimulgus nubicus
nubnig2,group (polytypic),Nubian Nightjar (Nubian),Caprimulgus nubicus nubicus/tamaricis
nubnig3,group (monotypic),Nubian Nightjar (Torrid),Caprimulgus nubicus torridus
nubnig4,group (monotypic),Nubian Nightjar (Socotra),Caprimulgus nubicus jonesi
syknig1,species,Sykes's Nightjar,Caprimulgus mahrattensis
vaunig1,species,Vaurie's Nightjar,Caprimulgus centralasicus
golnig1,species,Golden Nightjar,Caprimulgus eximius
latnig2,species,Large-tailed Nightjar,Caprimulgus macrurus
timnig1,form,Timor Nightjar (undescribed form),Caprimulgus [undescribed Timor form]
andnig1,species,Andaman Nightjar,Caprimulgus andamanicus
meenig1,species,Mees's Nightjar,Caprimulgus meesi
jernig1,species,Jerdon's Nightjar,Caprimulgus atripennis
phinig1,species,Philippine Nightjar,Caprimulgus manillensis
sulnig1,species,Sulawesi Nightjar,Caprimulgus celebensis
dosnig1,species,Donaldson-Smith's Nightjar,Caprimulgus donaldsoni
bksnig1,species,Black-shouldered Nightjar,Caprimulgus nigriscapularis
finnig1,species,Fiery-necked Nightjar,Caprimulgus pectoralis
abynig1,species,Abyssinian Nightjar,Caprimulgus poliocephalus
monnig2,species,Rwenzori Nightjar,Caprimulgus ruwenzorii
indnig1,species,Indian Nightjar,Caprimulgus asiaticus
madnig1,species,Madagascar Nightjar,Caprimulgus madagascariensis
swanig1,species,Swamp Nightjar,Caprimulgus natalensis
planig1,species,Plain Nightjar,Caprimulgus inornatus
stsnig1,species,Star-spotted Nightjar,Caprimulgus stellatus
necnig1,species,Nechisar Nightjar,Caprimulgus solala
savnig1,species,Savanna Nightjar,Caprimulgus affinis
frenig1,species,Freckled Nightjar,Caprimulgus tristigma
bonnig1,species,Bonaparte's Nightjar,Caprimulgus concretus
salnig1,species,Salvadori's Nightjar,Caprimulgus pulchellus
itonig1,species,Itombwe Nightjar,Caprimulgus prigoginei
batnig2,species,Bates's Nightjar,Caprimulgus batesi
lotnig1,species,Long-tailed Nightjar,Caprimulgus climacurus
sltnig1,species,Slender-tailed Nightjar,Caprimulgus clarus
sqtnig1,species,Square-tailed Nightjar,Caprimulgus fossii
caprim1,spuh,Caprimulgus sp.,Caprimulgus sp.
nightj1,spuh,nightjar sp.,Caprimulgidae sp.
grepot1,species,Great Potoo,Nyctibius grandis
lotpot1,species,Long-tailed Potoo,Nyctibius aethereus
compot1,species,Common Potoo,Nyctibius griseus
norpot1,species,Northern Potoo,Nyctibius jamaicensis
norpot2,group (polytypic),Northern Potoo (Middle American),Nyctibius jamaicensis [mexicanus Group]
norpot3,group (polytypic),Northern Potoo (Caribbean),Nyctibius jamaicensis jamaicensis/abbotti
andpot1,species,Andean Potoo,Nyctibius maculosus
whwpot1,species,White-winged Potoo,Nyctibius leucopterus
rufpot1,species,Rufous Potoo,Nyctibius bracteatus
potoo1,spuh,potoo sp.,Nyctibius sp.
oilbir1,species,Oilbird,Steatornis caripensis
nconig1,species,New Caledonian Owlet-nightjar,Aegotheles savesi
feonig1,species,Feline Owlet-nightjar,Aegotheles insignis
spaown1,species,Starry Owlet-nightjar,Aegotheles tatei
waonig1,species,Wallace's Owlet-nightjar,Aegotheles wallacii
aronig1,species,Archbold's Owlet-nightjar,Aegotheles archboldi
moonig1,species,Mountain Owlet-nightjar,Aegotheles albertisi
molown1,species,Moluccan Owlet-nightjar,Aegotheles crinifrons
auonig1,species,Australian Owlet-nightjar,Aegotheles cristatus
barown2,species,Vogelkop Owlet-nightjar,Aegotheles affinis
barown1,species,Barred Owlet-nightjar,Aegotheles bennettii
barown3,group (polytypic),Barred Owlet-nightjar (Barred),Aegotheles bennettii bennettii/wiedenfeldi
barown5,group (monotypic),Barred Owlet-nightjar (Diamond's),Aegotheles bennettii terborghi
barown4,group (monotypic),Barred Owlet-nightjar (Dwarf),Aegotheles bennettii plumifer
owlet-1,spuh,owlet-nightjar sp.,Aegotheles sp.
blkswi,species,Black Swift,Cypseloides niger
blkswi1,group (monotypic),Black Swift (borealis),Cypseloides niger borealis
blkswi2,group (monotypic),Black Swift (costaricensis),Cypseloides niger costaricensis
blkswi3,group (monotypic),Black Swift (niger),Cypseloides niger niger
whcswi2,species,White-chested Swift,Cypseloides lemosi
rotswi1,species,Rothschild's Swift,Cypseloides rothschildi
sooswi1,species,Sooty Swift,Cypseloides fumigatus
whfswi1,species,White-fronted Swift,Cypseloides storeri
whcswi1,species,White-chinned Swift,Cypseloides cryptus
spfswi1,species,Spot-fronted Swift,Cypseloides cherriei
grdswi1,species,Great Dusky Swift,Cypseloides senex
cypsel1,spuh,Cypseloides sp.,Cypseloides sp.
chcswi1,species,Chestnut-collared Swift,Streptoprocne rutila
tepswi1,species,Tepui Swift,Streptoprocne phelpsi
whcswi,species,White-collared Swift,Streptoprocne zonaris
whnswi1,species,White-naped Swift,Streptoprocne semicollaris
bisswi1,species,Biscutate Swift,Streptoprocne biscutata
strept2,spuh,Streptoprocne sp.,Streptoprocne sp.
phinee1,species,Philippine Spinetailed Swift,Mearnsia picina
papnee1,species,Papuan Spinetailed Swift,Mearnsia novaeguineae
malspi1,species,Malagasy Spinetail,Zoonavena grandidieri
satspi1,species,Sao Tome Spinetail,Zoonavena thomensis
whrnee1,species,White-rumped Needletail,Zoonavena sylvatica
motspi1,species,Mottled Spinetail,Telacanthura ussheri
blaspi1,species,Black Spinetail,Telacanthura melanopygia
sirnee1,species,Silver-rumped Needletail,Rhaphidura leucopygialis
sabspi1,species,Sabine's Spinetail,Rhaphidura sabini
casspi1,species,Cassin's Spinetail,Neafrapus cassini
balspi1,species,Bat-like Spinetail,Neafrapus boehmi
chiswi,species,Chimney Swift,Chaetura pelagica
vauswi,species,Vaux's Swift,Chaetura vauxi
vauswi1,group (monotypic),Vaux's Swift (Vaux's),Chaetura vauxi vauxi
vauswi2,group (monotypic),Vaux's Swift (Yucatan),Chaetura vauxi gaumeri
vauswi3,group (polytypic),Vaux's Swift (Richmond's),Chaetura vauxi [richmondi Group]
vauswi4,group (monotypic),Vaux's Swift (aphanes),Chaetura vauxi aphanes
astswi1,group (monotypic),Vaux's Swift (Ashy-tailed),Chaetura vauxi andrei
y00321,slash,Chimney/Vaux's Swift,Chaetura pelagica/vauxi
chaswi1,species,Chapman's Swift,Chaetura chapmani
amaswi1,species,Amazonian Swift,Chaetura viridipennis
sicswi1,species,Sick's Swift,Chaetura meridionalis
shtswi1,species,Short-tailed Swift,Chaetura brachyura
shtswi2,group (polytypic),Short-tailed Swift (Short-tailed),Chaetura brachyura [brachyura Group]
shtswi3,group (monotypic),Short-tailed Swift (Tumbes),Chaetura brachyura ocypetes
barswi,species,Band-rumped Swift,Chaetura spinicaudus
barswi1,group (monotypic),Band-rumped Swift (aetherodroma),Chaetura spinicaudus aetherodroma
barswi2,group (polytypic),Band-rumped Swift (spinicaudus/latirostris),Chaetura spinicaudus spinicaudus/latirostris
barswi3,group (monotypic),Band-rumped Swift (aethalea),Chaetura spinicaudus aethalea
corswi,species,Costa Rican Swift,Chaetura fumosa
grrswi1,species,Gray-rumped Swift,Chaetura cinereiventris
gyrswi3,group (monotypic),Gray-rumped Swift (phaeopygos),Chaetura cinereiventris phaeopygos
gyrswi4,group (monotypic),Gray-rumped Swift (occidentalis),Chaetura cinereiventris occidentalis
gyrswi1,group (polytypic),Gray-rumped Swift (Ash-rumped),Chaetura cinereiventris [sclateri Group]
gyrswi2,group (monotypic),Gray-rumped Swift (Gray-rumped),Chaetura cinereiventris cinereiventris
parswi1,species,Pale-rumped Swift,Chaetura egregia
leaswi1,species,Lesser Antillean Swift,Chaetura martinica
chaetu,spuh,Chaetura sp.,Chaetura sp.
whtnee,species,White-throated Needletail,Hirundapus caudacutus
sibnee1,species,Silver-backed Needletail,Hirundapus cochinchinensis
brbnee1,species,Brown-backed Needletail,Hirundapus giganteus
purnee1,species,Purple Needletail,Hirundapus celebensis
hirund1,spuh,Hirundapus sp.,Hirundapus sp.
watswi1,species,Waterfall Swift,Hydrochous gigas
pygswi2,species,Pygmy Swiftlet,Collocalia troglodytes
cavswi3,species,Bornean Swiftlet,Collocalia dodgei
chiswi1,species,Christmas Island Swiftlet,Collocalia natalis
cavswi2,species,Cave Swiftlet,Collocalia linchi
pltswi1,species,Plume-toed Swiftlet,Collocalia affinis
gyrswi5,species,Gray-rumped Swiftlet,Collocalia marginata
ridswi1,species,Ridgetop Swiftlet,Collocalia isonota
y01084,slash,Gray-rumped/Ridgetop Swiftlet,Collocalia marginata/isonota
tenswi1,species,Tenggara Swiftlet,Collocalia sumbawae
draswi1,species,Drab Swiftlet,Collocalia neglecta
gloswi1,species,Glossy Swiftlet,Collocalia esculenta
y01077,slash,Drab/Glossy Swiftlet,Collocalia neglecta/esculenta
satswi1,species,Satin Swiftlet,Collocalia uropygialis
whbswi1,spuh,white-bellied swiftlet sp.,Collocalia sp.
seyswi1,species,Seychelles Swiftlet,Aerodramus elaphrus
masswi1,species,Mascarene Swiftlet,Aerodramus francicus
indswi1,species,Indian Swiftlet,Aerodramus unicolor
molswi4,species,Sulawesi Swiftlet,Aerodramus sororum
molswi3,species,Halmahera Swiftlet,Aerodramus infuscatus
molswi1,species,Seram Swiftlet,Aerodramus ceramensis
phiswi1,species,Philippine Swiftlet,Aerodramus mearnsi
mouswi2,species,Mountain Swiftlet,Aerodramus hirundinaceus
whrswi2,species,White-rumped Swiftlet,Aerodramus spodiopygius
ausswi1,species,Australian Swiftlet,Aerodramus terraereginae
himswi2,species,Himalayan Swiftlet,Aerodramus brevirostris
himswi1,group (polytypic),Himalayan Swiftlet (Himalayan),Aerodramus brevirostris brevirostris/innominatus
indswi2,group (monotypic),Himalayan Swiftlet (Indochinese),Aerodramus brevirostris rogersi
volswi1,species,Volcano Swiftlet,Aerodramus vulcanorum
whiswi1,species,Whitehead's Swiftlet,Aerodramus whiteheadi
balswi1,species,Bare-legged Swiftlet,Aerodramus nuditarsus
mayswi1,species,Mayr's Swiftlet,Aerodramus orientalis
palswi2,species,Ameline Swiftlet,Aerodramus amelis
uniswi1,species,Uniform Swiftlet,Aerodramus vanikorensis
monswi2,species,Mossy-nest Swiftlet,Aerodramus salangana
palswi1,species,Palau Swiftlet,Aerodramus pelewensis
marswi,species,Mariana Swiftlet,Aerodramus bartschi
caiswi1,species,Caroline Islands Swiftlet,Aerodramus inquietus
atiswi1,species,Atiu Swiftlet,Aerodramus sawtelli
polswi1,species,Polynesian Swiftlet,Aerodramus leucophaeus
marswi2,species,Marquesan Swiftlet,Aerodramus ocistus
blnswi1,species,Black-nest Swiftlet,Aerodramus maximus
ednswi1,species,White-nest Swiftlet,Aerodramus fuciphagus
gerswi1,species,Germain's Swiftlet,Aerodramus germani
y00731,slash,White-nest/Germain's Swiftlet (Edible-nest Swiftlet),Aerodramus fuciphagus/germani
papswi1,species,Three-toed Swiftlet,Aerodramus papuensis
aerodr1,spuh,dark swiftlet sp.,Aerodramus sp.
swiftl1,spuh,swiftlet sp.,Collocalia/Aerodramus sp.
scaswi1,species,Scarce Swift,Schoutedenapus myoptilus
schswi1,species,Schouteden's Swift,Schoutedenapus schoutedeni
y01029,slash,Scarce/Schouteden's Swift,Schoutedenapus myoptilus/schoutedeni
alpswi1,species,Alpine Swift,Apus melba
motswi2,species,Mottled Swift,Apus aequatorialis
aleswi1,species,Alexander's Swift,Apus alexandri
comswi,species,Common Swift,Apus apus
plaswi1,species,Plain Swift,Apus unicolor
nyaswi1,species,Nyanza Swift,Apus niansae
palswi3,species,Pallid Swift,Apus pallidus
y00732,slash,Common/Pallid Swift,Apus apus/pallidus
y00860,slash,Plain/Pallid Swift,Apus unicolor/pallidus
afrswi1,species,African Swift,Apus barbatus
afrswi2,group (monotypic),African Swift (Bioko),Apus barbatus sladeniae
afrswi3,group (polytypic),African Swift (African),Apus barbatus [barbatus Group]
fowswi1,species,Forbes-Watson's Swift,Apus berliozi
braswi1,species,Bradfield's Swift,Apus bradfieldi
madswi1,species,Madagascar Swift,Apus balstoni
fotswi,species,Pacific Swift,Apus pacificus
saaswi1,species,Salim Ali's Swift,Apus salimalii
blyswi1,species,Blyth's Swift,Apus leuconyx
cooswi1,species,Cook's Swift,Apus cooki
y00959,slash,Pacific/Cook's Swift,Apus pacificus/cooki
fotswi1,spuh,fork-tailed swift sp.,Apus pacificus/salimalii/leuconyx/cooki
darswi1,species,Dark-rumped Swift,Apus acuticauda
litswi1,species,Little Swift,Apus affinis
litswi2,group (polytypic),Little Swift (Little),Apus affinis [affinis Group]
litswi3,group (monotypic),Little Swift (Bannerman's),Apus affinis bannermani
litswi4,group (monotypic),Little Swift (Indian),Apus affinis singalensis
houswi1,species,House Swift,Apus nipalensis
y00960,slash,Little/House Swift,Apus affinis/nipalensis
horswi1,species,Horus Swift,Apus horus
horswi2,group (monotypic),Horus Swift (Horus),Apus horus horus
horswi3,group (monotypic),Horus Swift (Brown-rumped),Apus horus fuscobrunneus
whrswi1,species,White-rumped Swift,Apus caffer
batswi1,species,Bates's Swift,Apus batesi
apus1,spuh,Apus sp.,Apus sp.
whtswi,species,White-throated Swift,Aeronautes saxatalis
whtswi1,species,White-tipped Swift,Aeronautes montivagus
andswi1,species,Andean Swift,Aeronautes andecolus
y00669,slash,White-tipped/Andean Swift,Aeronautes montivagus/andecolus
lstswi1,species,Lesser Swallow-tailed Swift,Panyptila cayennensis
gstswi1,species,Great Swallow-tailed Swift,Panyptila sanctihieronymi
aspswi1,species,Asian Palm-Swift,Cypsiurus balasiensis
afpswi1,species,African Palm-Swift,Cypsiurus parvus
afrpas1,group (polytypic),African Palm-Swift (African),Cypsiurus parvus [parvus Group]
afrpas2,group (monotypic),African Palm-Swift (Comoro),Cypsiurus parvus griveaudi
afrpas3,group (monotypic),African Palm-Swift (Madagascar),Cypsiurus parvus gracilis
anpswi,species,Antillean Palm-Swift,Tachornis phoenicobia
pygswi1,species,Pygmy Swift,Tachornis furcata
ftpswi1,species,Fork-tailed Palm-Swift,Tachornis squamata
larswi1,spuh,large swift sp.,Apodidae sp. (large swift sp.)
smaswi1,spuh,small swift sp.,Apodidae sp. (small swift sp.)
swift1,spuh,swift sp.,Apodidae sp.
cretre1,species,Crested Treeswift,Hemiprocne coronata
gyrtre1,species,Gray-rumped Treeswift,Hemiprocne longipennis
whitre1,species,Whiskered Treeswift,Hemiprocne comata
moutre1,species,Moustached Treeswift,Hemiprocne mystacea
treesw1,spuh,treeswift sp.,Hemiprocne sp.
critop1,species,Crimson Topaz,Topaza pella
fietop1,species,Fiery Topaz,Topaza pyra
y00861,slash,Crimson/Fiery Topaz,Topaza pella/pyra
whnjac1,species,White-necked Jacobin,Florisuga mellivora
blkjac1,species,Black Jacobin,Florisuga fusca
whtsic1,species,White-tipped Sicklebill,Eutoxeres aquila
butsic1,species,Buff-tailed Sicklebill,Eutoxeres condamini
sabher1,species,Saw-billed Hermit,Ramphodon naevius
hobher2,species,Hook-billed Hermit,Glaucis dohrnii
broher,species,Bronzy Hermit,Glaucis aeneus
rubher,species,Rufous-breasted Hermit,Glaucis hirsutus
batbar1,species,Band-tailed Barbthroat,Threnetes ruckeri
patbar1,species,Pale-tailed Barbthroat,Threnetes leucurus
soobar1,species,Sooty Barbthroat,Threnetes niger
brther2,species,Broad-tipped Hermit,Anopetia gounellei
whbher1,species,White-bearded Hermit,Phaethornis hispidus
whwher1,species,White-whiskered Hermit,Phaethornis yaruqui
greher1,species,Green Hermit,Phaethornis guy
tabher1,species,Tawny-bellied Hermit,Phaethornis syrmatophorus
koeher1,species,Koepcke's Hermit,Phaethornis koepckeae
nebher1,species,Needle-billed Hermit,Phaethornis philippii
stbher1,species,Straight-billed Hermit,Phaethornis bourcieri
stbher2,group (monotypic),Straight-billed Hermit (bourcieri),Phaethornis bourcieri bourcieri
stbher3,group (monotypic),Straight-billed Hermit (major),Phaethornis bourcieri major
lobher,species,Long-billed Hermit,Phaethornis longirostris
lobher1,group (polytypic),Long-billed Hermit (Central American),Phaethornis longirostris [longirostris Group]
lobher3,group (monotypic),Long-billed Hermit (Baron's),Phaethornis longirostris baroni
mexher1,species,Mexican Hermit,Phaethornis mexicanus
lobher4,group (monotypic),Mexican Hermit (Jalisco),Phaethornis mexicanus griseoventer
lobher2,group (monotypic),Mexican Hermit (Mexican),Phaethornis mexicanus mexicanus
lother1,species,Long-tailed Hermit,Phaethornis superciliosus
